notes,target
"On March 30, students and parents staged a protest meeting with placards in the community hall of Heirok city (Thoubal, Manipur), after unidentified men vandalized the Salungpham High School and the Heirok Part-II Primary School on March 27 during the night. [size=dozens/picture]",Protests
"On March 30, people staged a protest rally in Khonsa city (Tirap, Arunachal Pradesh), after a supporter of the National People's Party (NPP) was beaten to death and another critically injured by an NSCN (IM) member and his group in Kheti village, on March 29. [size=dozens/picture]",Protests
"On March 30, at least five persons were injured and as many vehicles damaged when the supporters and workers of two contesting candidates of two different political parties clashed at Seppa city (East Kameng, Arunachal Pradesh), during election campaigning. [size=at least 5]",Riots
"Assumed on 30 Mar, in Tenali (Guntur, AP), family members of a recently deceased victim of a car accident staged a protest at the Tenali government hospital demanding justice. [size=no report]",Protests
"On 30 March, 12 men held placards and demonstrated during the 'Xtacy' fest at Jamia Millia Islamia in New Delhi (NCT of Delhi) to oppose an upcoming fashion show called 'Tarz-e-Libas'. [size=12]",Protests
"On March 30, at least three BJP workers were attacked by opposition members (CPI-M and INC) in Lalitbazar under Mandai/Mandwi area of Jirania (West Tripura, Tripura). There had been reports of violent attacks in the state ahead of the Parliamentary elections. [size=no report]",Riots
"As reported on March 30, the CPI-M Deputy Opposition Leader was attacked by suspected BJP workers in Pashcim Baikhora area (South Tripura, Tripura), when he went to see the home of a CPI-M worker who had passed away. [size=no report]",Riots
"On 30 Mar, in Vasco Da Gama in Mamurgao tehsil (South Goa, Goa), a police Sub-Inspector and head constable assaulted a restaurant caretaker and his subordinate, attempting to implicate them in a narcotics case. They were also taken to the police station and abused and threatened at gunpoint.",Violence against civilians
"On 29 March, a police constable deputed to guard the BJP's Harmu office in Ranchi city (Jamshedpur) was assaulted by the president, vice-president and general secretary of Bharatiya Janata Yuva Morcha (BJYM) and eight of their supporters. [size=11]",Riots
"On 29 March, two Improvised Explosive Devices (IEDs) planted by suspected CPI-Maoist rebels were detected and destroyed by CRPF and District Force near Chhattisgarh Armed Force (CAF) Burji camp in Gangaloor police station (Bijapur, Chhattisgarh).",Other
"On March 29, a large number of surrendered militants took part in a protest in Agartala city (West Tripura, Tripura), demanding proper rehabilitation and withdrawal of cases as per the terms and conditions of the government's rehabilitation policy. [size=large number]",Protests
"On March 29, a supporter of the National People's Party (NPP) was beaten to death and another critically injured by an NSCN (IM) member and his group in Kheti village (Tirap, Arunachal Pradesh). The police suspects the attack was related to electoral violence.",Riots
"On March 29, members of the Kangleipak Kanba Lup(KKL) held a silent sit-in-protest at the gate of Manipur High Court in Imphal city (Imphal West, Manipur), protesting against the special bench of the court for reserving judgment of a journalist. They demanded the immediate announcement of the verdict. [size=no report]",Protests
"On 29 March, KSC members held a massive demonstration rally at the deputy commissioner's office complex in Amritsar city (Punjab) to press for long standing demands including loan waivers. [size=massive]",Protests
"On 29 Mar, Indian and Pakistani forces exchanged shelling and small arms fire across the LoC in the Krishna Ghati sector area (Poonch, J&K).",Other
"On 29 March, 51 farmers affiliated with various farmers union presented themselves for arrest in Amritsar city (Punjab) as part of an agitation by farmers called 'Jail Bharo Andolan' to press their demand for complete loan waiver. No arrests were mentioned in the source. [size=51]",Protests
"On 29 Mar, Indian and Pakistani forces exchanged shelling and small arms fire across the LoC in the Mankote sector area (Poonch, J&K).",Other
"On 29 March, a trader and his family members raised slogans in front of an insurance company in Bathinda city (Punjab) to oppose the non-reimbursement of funds under a health insurance policy. [size=no report]",Protests
"On 29 Mar, two JeM militants were killed in a clash with state forces during a joint RR, CRPF and SOG CASO in the Sutsu Kalan area (Budgam, J&K). Five soldiers were also injured in the encounter.",Other
"On 29 Mar, local residents supported local sarpanches as they staged a protest at the DC Complex in Kishtwar district town (J&K) in response to the alleged assault of a sarpanch by the DC Kishtwar and his PSOs. The protesters blocked the main entry gate of DC office complex, preventing government officials from leaving the complex. [size=no report]",Protests
"On 29 March, KSC affiliated activists and farmers demonstrated outside the DC office in Jalandhar city (Punjab) to press their demand for jobs for the relatives of farmers who died due to rising debts. [size=no report]",Protests
"On 29 March, KSC affiliated activists and farmers demonstrated in Ferozepur district (Punjab) to press their demand for jobs for the relatives of farmers who died due to rising debts. [size=no report]",Protests
"On 29 Mar, Erstwhile Doda Migrant Committee members staged a protest outside the relief commissioner's office in Jammu city (J&K), demanding relief on par with displaced Kashmiris. [size=no report]",Protests
"On 29 Mar, the AJK wives of ex-militants staged a protest at the Press Enclave in Srinagar city (J&K), demanding safe passage back to AJK and the release of those women in detention over 'illegal immigration'. The women had arrived in Kashmir as part of a rehabilitation programme for surrendered militants. [size=scores]",Protests
"On 29 March, KSC affiliated activists and farmers demonstrated in Gurdaspur district (Punjab) to press their demand for jobs for the relatives of farmers who died due to rising debts. [size=no report]",Protests
"On 29 Mar, a man was shot and wounded by unknown gunmen at Nowpora village in Tral tehsil (Pulwama, J&K). The shooting followed a similar attack in nearby Midoora village the previous day.",Violence against civilians
"On 29 March, KSC affiliated activists and farmers demonstrated in Tarn Taran district (Punjab) to press their demand for jobs for the relatives of farmers who died due to rising debts. [size=no report]",Protests
"On March 29, IPFT and BJP members clashed in Khumulwng city (West Tripura, Tripura). The IPFT attacked BJP supporters when they tried to hold a rally in the area. There had been reports of violent attacks in the state ahead of the Parliamentary elections. [size=no report]",Riots
"On 29 March, farmers affiliated with various farmers union presented themselves for arrest in Jalandhar district (Punjab) as part of an agitation by farmers called 'Jail Bharo Andolan' to press their demand for complete loan waiver. No arrests were mentioned in the source. [size=no report]",Protests
"On 29 Mar, relatives of a missing man staged a protest at the Press Enclave in Srinagar city (J&K), urging the state administration to assist in tracing the man. [size=no report]",Protests
"On 29 March, KSC affiliated activists and farmers demonstrated in Amritsar district (Punjab) to press their demand for jobs for the relatives of farmers who died due to rising debts. [size=no report]",Protests
"On 29 March, members of the INTUC demonstrated outside the Labour Department in Ludhiana city (Punjab) to demand an increase in the minimum wage of factory workers. [size=no report]",Protests
"On March 29, the Jalukie Students' Union Nagaland (JSUN) and Jalukie Pumling Youth Organisation (JPYO) held a protest at the Veterinary and Animal Husbandry Department in Jalukie city (Peren, Nagaland), against the appointment of Grade IV Staff. [size=dozens/picture]",Protests
